10.0, 15.0  
10.0, 17.54  
10.0, 20.08  
10.0, 22.62  
10.0, 25.16  
10.0, 27.7  
10.0, 30.24  
17.54, 15.0  
17.54, 17.54  
17.54, 20.08  
17.54, 22.62  
17.54, 25.16  
17.54, 27.7  
17.54, 30.24  
30.0, 15.0  
30.0, 17.54  
30.0, 20.08  
30.0, 22.62  
37.54, 15.0  
37.54, 17.54  
37.54, 20.08  
37.54, 22.62  
50.0, 15.0  
52.54, 15.0  
55.08, 15.0  
20.0, 30.0  
25.0, 30.0  
40.0, 30.0  
40.0, 32.54  
60.0, 15.0  
63.0, 15.0  
60.0, 20.0  
63.0, 20.0  
5.0, 5.0  
5.0, 45.0  
75.0, 5.0  
75.0, 45.0  
20.0, 40.0  
22.54, 40.0  
25.08, 40.0  
27.62, 40.0  
30.16, 40.0  
32.7, 40.0  
35.24, 40.0  
37.78, 40.0  
40.32, 40.0  
42.86, 40.0
